层级,子层级/系统,典型功能/说明,瑞途电子现有产品/能力,主要短板/空白,我们可合作方向
L4 企业管理层,ERP,企业资源计划、财务、供应链、生产计划等,,,
L4 企业管理层,PLM,产品生命周期管理、研发数据管理,,,
L4 企业管理层,SCM,供应链管理、采购、物流协同,,,
L4 企业管理层,CRM,客户关系管理、销售、服务,,,
L4 企业管理层,BI,商业智能、数据分析、决策支持,,,
L3 制造运营管理层,MES,制造执行系统、生产调度、过程追溯,,,
L3 制造运营管理层,APS,高级计划与排程、产能优化,,,
L3 制造运营管理层,QMS,质量管理、检验、追溯,,,
L3 制造运营管理层,WMS,仓库管理、库存、物流,,,
L3 制造运营管理层,EAM/CMMS,设备资产管理、维护维修,,,
L3 制造运营管理层,LIMS,实验室信息管理、检测数据,,,
L3 制造运营管理层,EMI,制造智能、数据分析、可视化,,,
L2 过程监控与HMI层,SCADA,数据采集与监控、报警、远程操作,,,
L2 过程监控与HMI层,HMI,人机界面、操作站、可视化,,,
L2 过程监控与HMI层,Historian,实时/历史数据库、数据归档,,,
L2 过程监控与HMI层,边缘计算平台,本地数据处理、协议转换、AI推理,,,
L1 控制层,PLC,可编程逻辑控制器、自动化控制,,,
L1 控制层,DCS,分布式控制系统、流程控制,,,
L1 控制层,RTU,远程终端单元、远程数据采集,,,
L1 控制层,运动控制器,伺服驱动、运动控制,,,
L1 控制层,安全控制器,安全联锁、紧急停机,,,
L1 控制层,工业PC,本地控制、数据处理,,,
L1 控制层,I/O模块,信号采集与输出,,,
L1 控制层,本地组态软件,PLC/DCS编程、HMI组态,,,
L0 物理设备层,传感器,温度、压力、流量、视觉等数据采集,,,
L0 物理设备层,执行器,阀门、电机、气缸等动作执行,,,
L0 物理设备层,机器人,自动化搬运、装配、焊接等,,,
L0 物理设备层,生产设备/机床,加工、制造、检测等,,,
L0 物理设备层,智能仪表,数据采集、状态监测,,,
L0 物理设备层,嵌入式软件/固件,设备内部控制与数据处理,,, 
